filename,coarse_label
8BSJ_3269,internal
6Y57_2380,internal
9B0H_4368,internal
6PC7_2088,internal
7P7Q_2837,internal
6YS3_2397,internal
4V6R_954,internal
8P7Y_4154,internal
6TB3_2201,internal
6RXZ_2158,internal
9HC4_4470,internal
8UU8_3791,internal
6VYT_2249,internal
7OTC_2825,internal
8Y39_3983,internal
5XY3_1731,internal
6S0K_2162,internal
8P7X_4149,internal
8P8V_4165,internal
7M4X_2617,internal
7BHP_2559,internal
6G5H_1820,internal
6ZU5_2500,internal
4V6Q_952,internal
9L0R_4418,internal
8C8Y_3339,internal
5ADY_1389,internal
6TC3_2208,internal
6Y0G_2376,internal
9GHH_4468,internal
9G8M_4120,internal
8UU7_3786,internal
9E7F_4191,internal
6G5I_1821,internal
7QCA_3180,internal
6ZU1_2495,internal
7UNW_3130,internal
8CEE_3630,internal
8TOC_3764,internal
8UU8_3790,internal
9B0G_4366,internal
8RD8_3731,internal
7PIR_2968,internal
9E7F_4190,internal
8FVY_3665,internal
7QEP_3009,internal
9GHD_4455,internal
3J79_391,internal
8P8V_4164,internal
4V5H_823,internal
8RW1_4049,internal
8HU1_3832,internal
8P7X_4151,internal
7UNU_3121,internal
7PAI_2872,internal
8RRI_4352,internal
7PHA_2924,internal
5X8P_1720,internal
7OIF_2799,internal
8C83_3388,internal
6X7K_2354,internal
8K0P_3860,internal
8G34_3600,internal
7ZOD_3157,internal
8UQM_3897,internal
8APO_3403,internal
8FL0_3456,internal
6SV4_2191,internal
5JTE_1466,internal
6YWE_2410,internal
7M4W_2616,internal
9GHG_4465,internal
6HA8_1875,internal
6YWV_2421,internal
9L0R_4417,internal
7SYH_3075,internal
8JDK_3604,internal
6Y69_2382,internal
5UYL_1679,internal
8JDL_3605,internal
8P5D_3407,internal
9L0R_4393,internal
7P7Q_2836,internal
8P2F_3839,internal
8IE3_3483,internal
9NJF_4476,internal
7P3K_2730,internal
6WD4_2296,internal
7SSL_3059,internal
6GQV_1836,internal
6LQR_1902,internal
6Z6K_2438,internal
8S8E_4056,internal
7UCK_3106,internal
5UYK_1676,internal
6Y7C_2384,internal
8BPO_3440,internal
8T5H_4031,internal
6ORE_2031,internal
9H3V_4287,internal
8BIM_3512,internal
6GC7_1830,internal
6T59_2194,internal
8RJB_3668,internal
7PIC_2948,internal
2OM7_315,internal
8QPP_3632,internal
8RWG_4310,internal
5T2A_1648,internal
8CDR_3542,internal
6VZ7_2267,internal
7O1C_2703,internal
7NRC_2678,internal
9L0R_4412,internal
8BN3_3639,internal
8P8V_4167,internal
7ZS5_3228,internal
8EVT_3527,internal
6MTE_1928,internal
6U48_2221,internal
7LHD_2760,internal
6P5J_2077,internal
6VWN_2241,internal
9G8M_4121,internal
5UYK_1675,internal
9B0F_4365,internal
6Q95_2109,internal
9GHG_4462,internal
8QSJ_3624,internal
8P2H_3850,internal
6RBD_2136,internal
7OII_2806,internal
8OZ0_3677,internal
8FL4_3459,internal
7TTU_3096,internal
7PIQ_2964,internal
6TC3_2207,internal
7PI8_2934,internal
6LQV_1910,internal
7TM3_3093,internal
6R7Q_2133,internal
8K0S_3833,internal
7K53_2603,internal
8UU9_3795,internal
6ZSC_2473,internal
6LQS_1903,internal
9GHA_4445,internal
6TNN_2216,internal
7K52_2600,internal
8YLD_4226,internal
8RCT_3761,internal
8RDW_3737,internal
8TOC_3765,internal
8XSZ_3949,internal
6YWX_2425,internal
8QHU_4308,internal
8RL2_4250,internal
7JSS_2585,internal
8C8X_3337,internal
8PV6_3590,internal
8BHP_3510,internal
8CRX_3273,internal
6YWY_2429,internal
8G7Q_3741,internal
9FRL_4268,internal
6ZCE_2441,internal
6O9K_1996,internal
7OQC_2727,internal
6C4I_1776,internal
6ZU9_2501,internal
6GXP_1851,internal
8P8B_4162,internal
5KPW_1478,internal
5LZC_1497,internal
6ERI_1808,internal
9FO0_4262,internal
9L0R_4403,internal
6WD1_2291,internal
5LZT_1516,internal
8ZDD_4317,internal
9GFT_4321,internal
