filename,label
8BSJ_3269,2x2
6Y57_2380,2x2
9B0H_4368,2x2
6PC7_2088,2x2
7P7Q_2837,2x2
6YS3_2397,2x2
4V6R_954,2x2
8P7Y_4154,2x2
6TB3_2201,2x2
6RXZ_2158,2x2
9HC4_4470,2x2
8UU8_3791,2x2
6VYT_2249,2x2
7OTC_2825,2x2
8Y39_3983,2x2
5XY3_1731,2x2
6S0K_2162,2x2
8P7X_4149,2x2
8P8V_4165,2x2
7M4X_2617,2x2
7BHP_2559,2x2
6G5H_1820,2x2
6ZU5_2500,2x2
4V6Q_952,2x2
9L0R_4418,2x2
8C8Y_3339,2x2
5ADY_1389,2x2
6TC3_2208,2x2
6Y0G_2376,2x2
9GHH_4468,2x2
9G8M_4120,2x2
8UU7_3786,2x2
9E7F_4191,2x2
6G5I_1821,2x2
7QCA_3180,2x2
6ZU1_2495,2x2
7UNW_3130,2x2
8CEE_3630,2x2
8TOC_3764,2x2
8UU8_3790,2x2
9B0G_4366,2x2
8RD8_3731,2x2
7PIR_2968,2x2
9E7F_4190,2x2
8FVY_3665,2x2
7QEP_3009,2x2
9GHD_4455,2x2
3J79_391,2x2
8P8V_4164,2x2
4V5H_823,2x2
8RW1_4049,2x2
8HU1_3832,2x2
8P7X_4151,2x2
7UNU_3121,2x2
7PAI_2872,2x2
8RRI_4352,2x2
7PHA_2924,2x2
5X8P_1720,2x2
7OIF_2799,2x2
8C83_3388,2x2
6X7K_2354,2x2
8K0P_3860,2x2
8G34_3600,2x2
7ZOD_3157,2x2
8UQM_3897,2x2
8APO_3403,2x2
8FL0_3456,2x2
6SV4_2191,2x2
5JTE_1466,2x2
6YWE_2410,2x2
7M4W_2616,2x2
9GHG_4465,2x2
6HA8_1875,2x2
6YWV_2421,2x2
9L0R_4417,2x2
7SYH_3075,2x2
8JDK_3604,2x2
6Y69_2382,2x2
5UYL_1679,2x2
8JDL_3605,2x2
8P5D_3407,2x2
9L0R_4393,2x2
7P7Q_2836,2x2
8P2F_3839,2x2
8IE3_3483,2x2
9NJF_4476,2x2
7P3K_2730,2x2
6WD4_2296,2x2
7SSL_3059,2x2
6GQV_1836,2x2
6LQR_1902,2x2
6Z6K_2438,2x2
8S8E_4056,2x2
7UCK_3106,2x2
5UYK_1676,2x2
6Y7C_2384,2x2
8BPO_3440,2x2
8T5H_4031,2x2
6ORE_2031,2x2
9H3V_4287,2x2
8BIM_3512,2x2
6GC7_1830,2x2
6T59_2194,2x2
8RJB_3668,2x2
7PIC_2948,2x2
2OM7_315,2x2
8QPP_3632,2x2
8RWG_4310,2x2
5T2A_1648,2x2
8CDR_3542,2x2
6VZ7_2267,2x2
7O1C_2703,2x2
7NRC_2678,2x2
9L0R_4412,2x2
8BN3_3639,2x2
8P8V_4167,2x2
7ZS5_3228,2x2
8EVT_3527,2x2
6MTE_1928,2x2
6U48_2221,2x2
7LHD_2760,2x2
6P5J_2077,2x2
6VWN_2241,2x2
9G8M_4121,2x2
5UYK_1675,2x2
9B0F_4365,2x2
6Q95_2109,2x2
9GHG_4462,2x2
8QSJ_3624,2x2
8P2H_3850,2x2
6RBD_2136,2x2
7OII_2806,2x2
8OZ0_3677,2x2
8FL4_3459,2x2
7TTU_3096,2x2
7PIQ_2964,2x2
6TC3_2207,2x2
7PI8_2934,2x2
6LQV_1910,2x2
7TM3_3093,2x2
6R7Q_2133,2x2
8K0S_3833,2x2
7K53_2603,2x2
8UU9_3795,2x2
6ZSC_2473,2x2
6LQS_1903,2x2
9GHA_4445,2x2
6TNN_2216,2x2
7K52_2600,2x2
8YLD_4226,2x2
8RCT_3761,2x2
8RDW_3737,2x2
8TOC_3765,2x2
8XSZ_3949,2x2
6YWX_2425,2x2
8QHU_4308,2x2
8RL2_4250,2x2
7JSS_2585,2x2
8C8X_3337,2x2
8PV6_3590,2x2
8BHP_3510,2x2
8CRX_3273,2x2
6YWY_2429,2x2
8G7Q_3741,2x2
9FRL_4268,2x2
6ZCE_2441,2x2
6O9K_1996,2x2
7OQC_2727,2x2
6C4I_1776,2x2
6ZU9_2501,2x2
6GXP_1851,2x2
8P8B_4162,2x2
5KPW_1478,2x2
5LZC_1497,2x2
6ERI_1808,2x2
9FO0_4262,2x2
9L0R_4403,2x2
6WD1_2291,2x2
5LZT_1516,2x2
8ZDD_4317,2x2
9GFT_4321,2x2
8TOC_3773,2x2
8FKR_3445,2x2
3JBN_415,2x2
9H3Z_4292,2x2
7PAS_2907,2x2
5X8T_1723,2x2
8I9T_3368,2x2
8APO_3404,2x2
6RBD_2139,2x2
6Z6K_2440,2x2
8CGV_3477,2x2
8FKY_3453,2x2
8G34_3598,2x2
8WR4_3915,2x2
9J1M_4386,2x2
8CF5_3547,2x2
7ASE_2548,2x2
8UU7_3787,2x2
6SNT_2179,2x2
9NL5_4056,3x3
7RYG_2836,3x3
9J3R_3982,3x3
6ZVJ_2331,3x3
9H3Y_3869,3x3
6U48_2041,3x3
4V73_897,3x3
8RCS_3453,3x3
8G6W_3133,3x3
8VKI_3935,3x3
7P7U_2758,3x3
4V70_883,3x3
7D6Z_2422,3x3
6WRS_2190,3x3
5APO_1331,3x3
7OIF_2709,3x3
6OUO_1919,3x3
6ZN5_2274,3x3
7ST2_2868,3x3
8WIB_3493,3x3
7WTS_2935,3x3
6TBV_2027,3x3
9J3T_3990,3x3
8AP4_2985,3x3
8P2F_3534,3x3
9J1M_3979,3x3
8RPY_3576,3x3
6XIJ_2216,3x3
6RI5_1992,3x3
7OII_2724,3x3
8HSP_3522,3x3
8G7Q_3414,3x3
6VZ3_2087,3x3
8OM3_3364,3x3
8UPO_3588,3x3
8YUO_3766,3x3
7PJZ_2663,3x3
7AFK_2387,3x3
9NLH_4077,3x3
8EMM_3155,3x3
8WIC_3495,3x3
7K53_2474,3x3
8YOP_3648,3x3
8SYL_3231,3x3
8G7Q_3416,3x3
5JU8_1379,3x3
5FLX_1353,3x3
8CEU_3213,3x3
5LZW_1430,3x3
8B0X_2989,3x3
7AS9_2397,3x3
6W6K_2101,3x3
7JSW_2439,3x3
6ZUO_2326,3x3
8JSG_3402,3x3
9N2B_3992,3x3
6ZV6_2328,3x3
7D6Z_2421,3x3
7K51_2465,3x3
4UJD_567,3x3
7U0H_2984,3x3
8XT0_3644,3x3
8WIB_3494,3x3
8QBT_3509,3x3
7SYX_2904,3x3
6Y69_2229,3x3
8CGK_3203,3x3
3J9Z_400,3x3
9NJV_4050,3x3
7OPE_2625,3x3
6ZTN_2307,3x3
7ABZ_2362,3x3
6VYT_2074,3x3
6ZP4_2281,3x3
7S0S_2839,3x3
6W2T_2097,3x3
4V70_884,3x3
7AFD_2385,3x3
4V7A_921,3x3
4V6O_856,3x3
4V70_885,3x3
6WNV_2178,3x3
6WD9_2135,3x3
6Y69_2230,3x3
7SYJ_2881,3x3
8RDV_3407,3x3
6V3D_2052,3x3
6N7P_1772,3x3
6WDM_2175,3x3
7NAC_2976,3x3
6ZU1_2320,3x3
7SSW_2864,3x3
9NLF_4074,3x3
8Q7Z_3729,3x3
9GUX_3826,3x3
7PIO_2795,3x3
7O5B_2706,3x3
6R86_1991,3x3
6V3B_2048,3x3
8BF7_3237,3x3
7JIL_2430,3x3
9J3R_3980,3x3
8CEU_3212,3x3
3IZZ_375,3x3
6SKG_2004,3x3
7PIA_2790,3x3
6GQ1_1684,3x3
6P5N_1940,3x3
8YUR_3781,3x3
7SSW_2862,3x3
8RDW_3409,3x3
8P16_3564,3x3
8FZJ_3672,3x3
7JT3_2452,3x3
6WD2_2112,3x3
8QPP_3357,3x3
6ZXG_2342,3x3
7TQL_2905,3x3
8FZG_3659,3x3
6YSU_2265,3x3
8QHU_3898,3x3
6R84_1989,3x3
8R6C_3681,3x3
8FZD_3650,3x3
8P18_3572,3x3
8UQL_3591,3x3
8XSX_3637,3x3
8FKW_3201,3x3
8IFB_3395,3x3
9GGR_3918,3x3
7PWO_2811,3x3
6H58_1724,3x3
8B6C_3020,3x3
8V9J_3379,3x3
8P2H_3542,3x3
6YEF_2239,3x3
9MOR_3891,3x3
9NJV_4047,3x3
5AKA_1325,3x3
8T5D_3736,3x3
4UE4_564,3x3
8CRX_3054,3x3
7PIQ_2799,3x3
6ZN5_2273,3x3
7UG7_2917,3x3
6H4N_1713,3x3
8FIZ_3062,3x3
4V6M_849,3x3
5LZZ_1438,3x3
9H3P_3855,3x3
8BH7_3284,3x3
9B0H_3962,3x3
9GFT_3917,3x3
6OM6_1865,3x3
7OHX_2607,3x3
8FZJ_3671,3x3
5LZC_1407,3x3
7SS9_2852,3x3
7OIG_2720,3x3
6I7O_1740,3x3
9GHD_4020,3x3
7NSO_2561,3x3
9BKD_3748,3x3
8Y39_3699,3x3
9N2C_3998,3x3
7OT5_2731,3x3
9NLJ_4082,3x3
9H3P_3856,3x3
8P2G_3537,3x3
7P7S_2753,3x3
7PJW_2650,3x3
7SFR_2848,3x3
6YSS_2255,3x3
9BH5_3747,3x3
7QI6_3140,3x3
6ZS9_2284,3x3
4V6Y_874,3x3
6O9J_1836,3x3
7NWW_2703,3x3
6XGF_2212,3x3
7K55_2481,3x3
8Y36_3688,3x3
7SSN_2856,3x3
9C4G_3722,3x3
6OGG_1850,3x3
7SYO_2889,3x3
6PCH_1951,3x3
8URX_3604,3x3
7NWH_2572,3x3
8FR8_3142,3x3
8VKI_3934,3x3
8TJQ_3320,3x3
8RCT_3456,3x3
5AA0_1312,3x3
9L0R_180,4x4
7PHA_92,4x4
6SPF_75,4x4
8P60_131,4x4
9J3T_159,4x4
9J3R_150,4x4
6VWM_77,4x4
9LCR_186,4x4
6SWC_76,4x4
9NLQ_461,5x5
6LSR_194,5x5
7A01_262,5x5
7NSI_276,5x5
8G7R_415,5x5
3J9W_64,5x5
7PKT_302,5x5
6HD7_192,5x5
6Q9A_228,5x5
6ZVK_261,5x5
6LSS_195,5x5
6Y2L_254,5x5
8FLB_368,5x5
6Y57_255,5x5
7OII_296,5x5
8B6C_332,5x5
7QV1_305,5x5
6TH6_244,5x5
8Y0X_408,5x5
8JDL_396,5x5
5JTE_15670,bulge1
5IMQ_15113,bulge1
5IQR_15133,bulge1
3J5L_2929,bulge1
5AFI_14241,bulge1
5APO_14356,bulge1
5AFI_14227,bulge1
3J79_2964,bulge1
5GMK_14885,bulge1
5AJ3_14275,bulge1
5ANC_14327,bulge1
5H1S_14893,bulge1
5AKA_14308,bulge1
5AJ4_14288,bulge1
5IMQ_15110,bulge1
3J7P_3007,bulge1
5AJ0_14245,bulge1
5JCS_15652,bulge1
5IMQ_15109,bulge1
5APO_14358,bulge1
3J7P_2999,bulge1
5APN_14339,bulge1
5IMR_15115,bulge1
5H1S_14897,bulge1
5APO_14366,bulge1
5AJ0_14249,bulge1
3J7O_2989,bulge1
5APO_14365,bulge1
3J6B_2941,bulge1
3J6B_2936,bulge1
5AJ4_14293,bulge1
5IT7_15170,bulge1
5IMR_15124,bulge1
5JBH_15605,bulge1
5IMQ_15100,bulge1
5IT9_15221,bulge1
5GAK_14868,bulge1
6MTC_8004,bulge2
8RDW_14868,bulge2
6Y2L_10019,bulge2
8GLP_13497,bulge2
