filename,label
4V72_892,internal
8G7S_3424,internal
8CRX_3054,internal
5AFI_14233,bulge
6GZQ_2328,hairpin
8PHJ_3348,internal
5IMQ_1369,internal
6YST_2259,internal
5GAK_14863,bulge
8BSJ_3047,internal
6AZ3_2179,hairpin
4CXH_441,internal
6VU3_2054,internal
4V4N_606,internal
7JT2_2451,internal
8RCM_3443,internal
6PC6_2598,hairpin
7LV0_2488,internal
5T2A_2067,hairpin
8P8B_3794,internal
7OIF_2711,internal
6OLF_2525,hairpin
8A3L_3107,internal
6GC8_1682,internal
7NWH_2570,internal
7JIL_2429,internal
7UVW_3081,internal
7OT5_2733,internal
5NWY_2034,hairpin
8Y38_3694,internal
6WDF_2154,internal
8EMM_3153,internal
4V7B_925,internal
8XZ3_3703,internal
6GC0_2291,hairpin
9MQ4_3894,internal
8ZTV_3954,internal
5JTE_15672,bulge
8RCM_3447,internal
5AJ0_14245,bulge
8RCL_3501,internal
8YOP_3649,internal
7SYO_2890,internal
6Q95_1969,internal
9B0H_3961,internal
5AFI_14235,bulge
6RXV_2659,hairpin
7O1A_2582,internal
6YAM_2233,internal
8P7X_3789,internal
6YSS_2256,internal
7PJU_2642,internal
7MT7_2694,internal
6SPG_2011,internal
8CGV_3222,internal
6YEF_2238,internal
7XNY_3096,internal
5IT9_15227,bulge
3J9W_599,hairpin
9MQ4_3892,internal
5T6R_2079,hairpin
7K52_2470,internal
7O7Z_2593,internal
5AJ3_14280,bulge
8AYE_3030,internal
9J3T_3990,internal
6TH6_2739,hairpin
8Z70_3836,internal
6WRS_2189,internal
8EKC_2997,internal
8OM2_3363,internal
5MDZ_1449,internal
7OII_2726,internal
8YUP_3773,internal
5LZY_1927,hairpin
5IT7_15156,bulge
7AFD_2385,internal
8QBT_3508,internal
7UNW_2930,internal
8ZTV_3955,internal
6FYX_2287,hairpin
5MMI_1951,hairpin
7NSQ_2566,internal
5LZX_1432,internal
7OTC_2739,internal
6GZ3_2318,hairpin
6OUO_1918,internal
4V6N_852,internal
7BL4_2408,internal
6OST_1901,internal
8HTZ_3524,internal
5A9Z_1309,internal
6ZU5_2323,internal
7M4V_2492,internal
9GFT_3909,internal
3J5L_2933,bulge
6GZ3_1706,internal
7WTS_2934,internal
5APN_14341,bulge
7K53_2474,internal
8EWC_3281,internal
6V3B_2048,internal
8RDV_3407,internal
7MT3_2692,internal
9GHA_4009,internal
7UG7_2917,internal
8PEG_3427,internal
5NCO_1984,hairpin
3J7O_2983,bulge
5LZZ_1438,internal
6S47_2674,hairpin
3J9Z_400,internal
5APN_14347,bulge
5GAK_14869,bulge
8SYL_3231,internal
5O2R_2035,hairpin
8RPY_3577,internal
6R7Q_1987,internal
5OT7_2063,hairpin
3J92_592,hairpin
9GGR_3926,internal
6GC4_1679,internal
5IQR_15134,bulge
6I0Y_2369,hairpin
8R3V_3436,internal
6FXC_2281,hairpin
8XZ3_3704,internal
8QOA_3516,internal
8BGH_3242,internal
5O60_2037,hairpin
7PJX_2654,internal
6YSS_2255,internal
8AKN_3021,internal
6SV4_2698,hairpin
7UVW_3082,internal
5MMM_1952,hairpin
7ST6_2871,internal
6Y57_2227,internal
4V6K_839,internal
4UY8_573,internal
6V3D_2051,internal
6ZTJ_2294,internal
8VRL_3942,internal
9GHF_4031,internal
8V83_3545,internal
6XIR_2221,internal
7PJY_2660,internal
8FKW_3201,internal
8ZDC_3904,internal
7OYD_2742,internal
8A5I_2970,internal
9MQ4_3897,internal
8VRL_3943,internal
5LZV_1428,internal
8HSP_3523,internal
6WD2_2115,internal
6OST_2564,hairpin
7Y7F_3302,internal
6WDD_2146,internal
5LZX_1923,hairpin
5UQ8_2108,hairpin
5AJ3_14278,bulge
8FZJ_3674,internal
7PIA_2792,internal
7PJY_2658,internal
9NL5_4054,internal
8G6W_3133,internal
5AJ4_14287,bulge
5GAK_14868,bulge
5AFI_14220,bulge
5IMQ_15098,bulge
5JTE_15656,bulge
4V6Z_881,internal
7MT2_2690,internal
8UU7_3474,internal
5AJ0_14266,bulge
4V6K_840,internal
6V3D_2769,hairpin
7PAJ_2763,internal
5JB3_15596,bulge
6R87_2649,hairpin
8A3L_3106,internal
8CGD_3215,internal
8EMM_3152,internal
7O19_2577,internal
5AJ3_14274,bulge
4V6Q_862,internal
5MDV_1440,internal
5JTE_15657,bulge
7SSD_2853,internal
6OSQ_1897,internal
8R8M_3682,internal
7ACJ_2373,internal
9NL5_4057,internal
5AJ3_14276,bulge
3JCE_641,hairpin
6ZU1_2320,internal
9C6K_3830,internal
7P7S_2753,internal
6W7M_2105,internal
6O8Z_1831,internal
7OT5_2732,internal
7PAM_2769,internal
3J7P_579,hairpin
8G31_3327,internal
6N7P_1772,internal
6TH6_2737,hairpin
5AA0_1312,internal
9MQ4_3893,internal
3J5L_2930,bulge
5AFI_14234,bulge
4V74_900,internal
7BL6_2413,internal
6LQM_2390,hairpin
7PIQ_2800,internal
8RWG_3899,internal
8RCM_3445,internal
6H58_2338,hairpin
5APN_14331,bulge
8G38_3337,internal
5AFI_14240,bulge
5GAK_14872,bulge
6VWN_2063,internal
8CGK_3205,internal
8QCQ_3514,internal
7PNY_2805,internal
8R3V_3434,internal
9HA5_3874,internal
7SYN_2888,internal
6RW4_1994,internal
3IZZ_375,internal
6ZXF_2339,internal
7A09_2348,internal
8BRM_3040,internal
6ZXE_2338,internal
6PCS_2603,hairpin
6PCH_1950,internal
6VWL_2058,internal
9GUW_3825,internal
7TTU_2908,internal
8ZTU_3948,internal
6WDH_2158,internal
6OLI_2533,hairpin
6TNN_2743,hairpin
4V4V_619,internal
8R6C_3681,internal
5JUU_1851,hairpin
4UJC_565,internal
6R6G_2637,hairpin
7P7S_2752,internal
4CXG_440,internal
5IQR_15149,bulge
6P5N_1940,internal
7K00_2460,internal
9J3R_3981,internal
8AYE_3032,internal
6RW5_2656,hairpin
8P2H_3542,internal
7OIF_2712,internal
8PKL_3433,internal
5A2Q_1305,internal
8BHL_3255,internal
7NHL_2539,internal
7SFR_2851,internal
8G2U_3322,internal
7PI8_2788,internal
6TNN_2036,internal
6GZZ_2336,hairpin
5H4P_14912,bulge
7M4Z_2501,internal
7N2C_2508,internal
9GHB_4012,internal
6WRU_2193,internal
3JAI_614,hairpin
5LZT_1911,hairpin
7LVK_2678,internal
9GHA_4008,internal
9NL7_4065,internal
7NHN_2547,internal
5APN_14346,bulge
8P03_3504,internal
4V6Y_876,internal
6O8Z_1830,internal
4V6Q_859,internal
6R6G_2638,hairpin
5LZY_1926,hairpin
3J7O_2990,bulge
6GXP_1704,internal
5WF0_2128,hairpin
8P5D_3161,internal
7NWH_2572,internal
5M1J_1932,hairpin
9H3R_3858,internal
8ETJ_3004,internal
6I7O_1739,internal
5H1S_14898,bulge
8P8W_3797,internal
8FZF_3624,internal
8RQ2_3584,internal
6GZ5_2326,hairpin
8K4E_3676,internal
7SFR_2849,internal
6H58_1719,internal
5AFI_14217,bulge
5AFI_14218,bulge
6YSR_2252,internal
5JTE_1377,internal
5H1S_14896,bulge
5IT7_15157,bulge
5KPX_1859,hairpin
6R5Q_2636,hairpin
5FLX_14835,bulge
6HA8_1729,internal
3JCD_640,hairpin
6VZJ_2094,internal
5UQ8_2107,hairpin
7PIP_2798,internal
5AJ4_14290,bulge
7UNU_2924,internal
6QIK_2623,hairpin
8UUA_3483,internal
6QDW_1979,internal
5AJ4_14293,bulge
8V83_3547,internal
5IT9_15222,bulge
6XDQ_2207,internal
8PHJ_3347,internal
6WDI_2163,internal
6W77_2103,internal
8TJQ_3320,internal
7JQB_2433,internal
9GHC_4017,internal
8C92_3117,internal
7QH4_2820,internal
7K50_2461,internal
9NJF_4045,internal
8VKW_3936,internal
6HCQ_2354,hairpin
6H4N_1715,internal
3J5L_2926,bulge
6W6K_2101,internal
8HD6_3078,internal
7Q4K_2980,internal
7SYJ_2881,internal
5JBH_15606,bulge
7PHB_2785,internal
7P7Q_2746,internal
9NLF_4073,internal
8ZDC_3905,internal
8VKI_3934,internal
7QVP_2834,internal
8CD1_3373,internal
5T5H_2070,hairpin
6YAL_2232,internal
6O8Y_2494,hairpin
5AJ0_14249,bulge
7R4X_3017,internal
5UYM_2111,hairpin
5AN9_14316,bulge
7OIG_2716,internal
7QVP_2833,internal
3J79_2963,bulge
7PJU_2640,internal
3J7A_2974,bulge
5IT7_15165,bulge
3JCE_414,internal
3J79_2959,bulge
8EIU_3014,internal
9GGR_3921,internal
5AFI_14221,bulge
6HTQ_2368,hairpin
8CEU_3212,internal
5MDY_1446,internal
6ZTJ_2292,internal
6PCT_1960,internal
5T2A_2068,hairpin
6N8N_2446,hairpin
7MT7_2695,internal
6T59_2720,hairpin
8RCS_3449,internal
8FR8_3142,internal
6WDK_2167,internal
8PJ6_3715,internal
7P3K_2631,internal
7K00_2458,internal
5O61_2038,hairpin
7PJV_2644,internal
3J7A_2971,bulge
6RI5_2652,hairpin
9J1M_3977,internal
6PCR_2602,hairpin
3J5Y_570,hairpin
6WD2_2112,internal
3J5L_382,internal
6WDM_2172,internal
8YUP_3771,internal
6T83_2727,hairpin
3J6B_2939,bulge
5NGM_2022,hairpin
6RXY_2660,hairpin
6HCJ_2350,hairpin
5JBH_15609,bulge
5IQR_15141,bulge
7TQL_2905,internal
5LZE_1412,internal
3Jan_618,hairpin
8CD1_3374,internal
5APN_14345,bulge
6SKG_2004,internal
9J3T_3987,internal
9GGR_3927,internal
6VWL_2055,internal
6W7N_2106,internal
6NU3_2468,hairpin
5O60_2036,hairpin
9B1W_4002,internal
5GAN_14877,bulge
4V76_908,internal
9H3S_3859,internal
7P7U_2756,internal
8UKB_3799,internal
6RM3_2654,hairpin
8V83_3546,internal
3J7O_2989,bulge
7TTU_2909,internal
5AKA_14307,bulge
6TMF_2742,hairpin
5KPW_1392,internal
5NJT_2026,hairpin
3J9W_394,internal
8G7Q_3415,internal
6VZ3_2088,internal
5AFI_14225,bulge
6OSK_1891,internal
5GAK_14861,bulge
6S0K_2001,internal
4V75_901,internal
7WTS_2935,internal
8T3C_3832,internal
8FTO_3225,internal
8Y37_3691,internal
6S13_2671,hairpin
3J6B_2936,bulge
5APN_14335,bulge
6OT3_1907,internal
9NL5_4056,internal
8IPA_3401,internal
5IQR_15137,bulge
4V6Y_877,internal
6XA1_2205,internal
8C96_3119,internal
9H3V_3865,internal
8UQL_3591,internal
6ORL_1882,internal
7ACR_2376,internal
5GM6_14883,bulge
6Y69_2228,internal
7JIL_2430,internal
5LZZ_1437,internal
6HCM_2351,hairpin
6XDR_2210,internal
6Y69_2230,internal
8URH_3600,internal
8UU9_3481,internal
5IMQ_15111,bulge
9HAI_3877,internal
5IT7_15161,bulge
5IT7_15168,bulge
6OLE_2523,hairpin
6Q9A_1972,internal
6R86_2646,hairpin
8YUR_3780,internal
6XIQ_2219,internal
7N2U_2513,internal
5JTE_15675,bulge
6WDI_2161,internal
5ZET_2171,hairpin
8WIB_3493,internal
7SYM_2885,internal
5APO_14356,bulge
3J7O_2985,bulge
6VWL_2057,internal
5JTE_15663,bulge
3J7A_2973,bulge
5IQR_1370,internal
2J28_285,internal
6SV4_2014,internal
6NU2_1803,internal
6H4N_1712,internal
8YUR_3783,internal
8P60_3163,internal
3J7P_3001,bulge
6FTJ_2277,hairpin
5APO_14348,bulge
6WDF_2152,internal
8P2H_3544,internal
4UJD_568,internal
8ZTU_3950,internal
4UY8_571,internal
7K50_2462,internal
7B5K_2401,internal
7AS9_2397,internal
5AKA_14301,bulge
7B5K_2399,internal
5MDW_1444,internal
8PJ3_3710,internal
6TNU_2745,hairpin
7S1G_2666,internal
8BSJ_3046,internal
6YDP_2235,internal
3J8G_389,internal
8QOI_3605,internal
8G7S_3425,internal
6ZSC_2287,internal
6ZOJ_2276,internal
6QZP_2634,hairpin
5AJ4_14283,bulge
8R8M_3683,internal
7O5H_2592,internal
4V6M_847,internal
6YSU_2262,internal
6GXO_2314,hairpin
5JB3_15598,bulge
8R3V_3435,internal
7PJZ_2664,internal
8URY_3610,internal
9GHH_4036,internal
5APN_14328,bulge
7OIF_2713,internal
3J9W_601,hairpin
8CEU_3213,internal
6VWN_2064,internal
7OI0_2611,internal
8P18_3573,internal
8VFT_3841,internal
3JCT_647,hairpin
6MTC_1758,internal
3J5L_2925,bulge
5ANC_14327,bulge
7KGB_2673,internal
7K51_2465,internal
8BIM_3266,internal
7K50_2464,internal
7PHC_2786,internal
8OM3_3364,internal
7D6Z_2422,internal
5GAE_14846,bulge
6YDW_2237,internal
5IT7_15155,bulge
6OSQ_1896,internal
6CB1_2234,hairpin
6RW5_1995,internal
6GXO_1700,internal
6TPQ_2040,internal
4V7E_930,internal
8YUS_3785,internal
7PIB_2793,internal
8WI8_3491,internal
6GWT_1694,internal
5GAE_14845,bulge
8BIM_3267,internal
6O8X_2489,hairpin
5A2Q_1304,internal
6P5K_2592,hairpin
3J5L_568,hairpin
5IQR_15151,bulge
7M4Z_2500,internal
5MDV_1442,internal
7M4V_2491,internal
9H3Y_3870,internal
7N31_2527,internal
6SZS_2019,internal
5LZZ_1930,hairpin
6V3A_2046,internal
6XA1_2206,internal
8JDK_3343,internal
