filename,label
3J7O_4705,hairpin4
6OIG_8628,hairpin6
8RJC_3727,bulge3
5ZEP_2169,hairpin3
5MRE_6674,hairpin6
6GZ5_7718,bulge2
5U9G_9068,hairpin5
8JDK_395,5x5
5O5J_6850,hairpin6
6Y57_586,bulge4
6ZVK_2511,2x2
7M4Z_10998,bulge2
5IMQ_19300,hairpin4
8RCS_3788,bulge3
4V6K_3555,bulge2
6SV4_9056,bulge2
6FTJ_10018,hairpin5
6ZSD_2912,bulge3
8ZTV_16849,bulge2
8IPD_3618,bulge3
6GXN_10232,hairpin5
6PCR_1957,3x3
6S0X_11973,hairpin5
8C97_3121,3x3
5Y88_9462,hairpin5
8CGN_14248,bulge2
6HA1_8053,hairpin6
6P5J_11487,hairpin5
6ZOK_10307,bulge2
6O8Y_8500,hairpin6
8G60_3506,bulge3
4V7D_929,3x3
8P2G_3540,3x3
3J9M_1291,bulge2
6SV4_12127,hairpin5
8T2Z_16393,bulge2
5LZX_2017,bulge3
8RJD_14672,bulge2
5LZX_1433,3x3
7OYD_11825,bulge2
8Z70_16462,bulge2
8RPZ_15364,bulge2
6WNW_570,bulge4
5KPS_6365,hairpin6
5KPX_6399,hairpin6
5MMM_8559,hairpin5
6OG7_11056,hairpin5
5LMS_1973,bulge3
6HCQ_2353,hairpin3
8P7X_16183,bulge2
6ENJ_7699,hairpin6
5OOM_8904,hairpin5
5APN_5553,bulge2
8YUR_16165,bulge2
6GXN_7666,bulge2
5MMM_6648,hairpin6
3J9W_2101,hairpin5
3JAJ_2194,hairpin5
6T7T_2725,hairpin3
6SV4_9046,bulge2
6P5J_8932,hairpin6
7ABZ_2361,3x3
8OGJ_15995,bulge2
6OGG_8341,bulge2
5MGP_6618,hairpin6
6YSS_10133,bulge2
8S1P_15504,bulge2
8VIO_379,bulge5
5WE4_2164,bulge3
9L0R_4419,2x2
7M4V_10966,bulge2
8CSQ_3408,bulge3
6VYY_2257,2x2
8K2D_15597,bulge2
9NLB_4067,3x3
6J6G_10568,hairpin5
9H3S_16596,bulge2
6J6N_10573,hairpin5
5UYM_7102,hairpin6
8P8B_16207,bulge2
8UPR_15393,bulge2
8URX_15468,bulge2
8IP8_3703,2x2
9GFT_3915,3x3
6OUO_1920,3x3
8WHX_3802,2x2
8SYL_389,5x5
8OGJ_15994,bulge2
8FL2_13739,bulge2
7JSZ_10791,bulge2
8FL0_13735,bulge2
4V6S_3634,bulge2
8IR1_3621,bulge3
6SPB_9002,bulge2
8BSI_3259,2x2
6WDF_2152,3x3
3JCN_2304,hairpin5
8G60_3126,3x3
7NQL_274,5x5
8QIE_16497,bulge2
9F1B_4005,bulge3
3J7Q_1250,bulge2
5KPS_8137,hairpin5
5KPV_6137,bulge2
6VZJ_9456,bulge2
3JBO_420,2x2
6TPQ_9518,hairpin6
6YSR_2253,3x3
9GR1_3814,3x3
9GR1_4054,bulge3
9J3T_159,4x4
7PAI_11916,bulge2
9MQ4_16675,bulge2
6OLZ_8692,hairpin6
6TC3_12250,hairpin5
6ZU5_2323,3x3
5ND8_8634,hairpin5
6FTG_7745,hairpin6
6O9J_2514,bulge3
8UUA_15080,bulge2
5AJ0_14245,bulge1
5T6R_6970,hairpin6
8CEC_3352,3x3
5LZW_6525,hairpin6
7BL2_2405,3x3
8H2H_330,5x5
5WE4_2166,bulge3
6HMA_7841,bulge2
5LZC_1499,2x2
7O19_2696,2x2
3J6B_1225,bulge2
9HAI_3877,3x3
3J7O_2992,bulge1
5U9G_2102,hairpin3
4UY8_195,bulge4
6ENU_9951,hairpin5
6DDG_9853,hairpin5
5UYK_9110,hairpin5
9C4G_4015,2x2
5UYM_9149,hairpin5
5MMI_1951,hairpin3
5WFS_9362,hairpin5
5KPS_8135,hairpin5
8P2H_3848,2x2
6PPK_11648,hairpin5
5LZF_8315,hairpin5
5T2A_2068,hairpin3
3J9W_1573,hairpin6
6PPF_2608,hairpin3
6WNV_569,bulge4
9HA6_16635,bulge2
7CPV_3177,bulge3
5JUU_8106,hairpin5
6V3A_9234,bulge2
5IT9_15220,bulge1
6OM0_8708,hairpin6
7O19_2699,2x2
8ZTU_3949,3x3
8S1P_15505,bulge2
5ZEB_7336,hairpin6
6R6P_9192,hairpin6
5UYM_383,bulge4
7PIR_12149,bulge2
8I9X_13529,bulge2
8OGJ_1112,bulge4
6Q9A_8763,bulge2
8OGJ_15997,bulge2
8UIY_17275,bulge2
8G6Y_13487,bulge2
6O8Y_2491,hairpin3
4V72_891,3x3
5UYM_7099,hairpin6
8YUP_4138,2x2
3J9Z_2128,hairpin5
6R84_9201,hairpin6
7AS8_10570,bulge2
6V39_2756,hairpin3
6WDD_9658,bulge2
3J7R_1516,hairpin6
4V4B_2565,bulge2
5ND9_6551,bulge2
5LZD_6477,hairpin6
5WDT_7002,bulge2
4V79_240,bulge4
6DDG_7423,bulge2
8YUS_3785,3x3
6HA1_8060,hairpin6
8A57_2968,3x3
9F58_1205,bulge4
6V39_9222,bulge2
6WD8_2778,bulge3
3J8G_1543,hairpin6
5MDY_6584,hairpin6
3J79_1382,hairpin7
8G6W_13481,bulge2
7OYD_301,5x5
9F9S_16355,bulge2
6GXP_10263,hairpin5
8URY_15520,bulge2
3J78_1381,hairpin7
6S47_8959,bulge2
8P17_3567,3x3
7QIZ_3021,2x2
8EKC_2998,3x3
5LZE_8303,hairpin5
6ENU_2343,bulge3
6R6P_11837,hairpin5
8T2P_3673,2x2
6OM0_8709,hairpin6
7NAX_11105,bulge2
5UYQ_6941,bulge2
5NP6_6654,bulge2
9NLJ_4082,3x3
6TC3_9481,hairpin6
6HA1_7785,bulge2
5AKA_18285,hairpin4
6PCQ_2601,hairpin3
5U4I_7022,hairpin6
6OST_11362,hairpin5
6XZ7_579,bulge4
8G5Z_13443,bulge2
9N2C_16974,bulge2
5LMN_1486,2x2
4V77_3797,bulge2
4D67_1598,bulge2
6WD0_2107,3x3
6GZ3_7971,hairpin6
6R84_11861,hairpin5
5UYL_2110,hairpin3
8URX_15471,bulge2
8OVE_14488,bulge2
6SV4_9059,bulge2
8RD8_14847,bulge2
5LZC_6256,bulge2
6WYV_2349,2x2
6GWT_7917,hairpin6
7PIB_2943,2x2
5U9G_7038,hairpin6
6V3D_12381,hairpin5
6HA1_8061,hairpin6
6OLG_11174,hairpin5
3JAH_2171,hairpin5
7PIO_2954,2x2
6I9R_10562,hairpin5
6HRM_8140,hairpin6
6YSR_10120,bulge2
8EMM_13556,bulge2
5LZB_8266,hairpin5
6W6P_2283,2x2
6O8W_8476,hairpin6
8P7Y_3791,3x3
6PCR_497,bulge4
6R6G_2650,bulge3
6S0X_8931,bulge2
8FLD_13798,bulge2
7BL6_10678,bulge2
8EIU_12920,bulge2
5LZZ_8417,hairpin5
4V6N_946,2x2
9FO0_16531,bulge2
8UU5_3467,3x3
7PAN_2890,2x2
8P8V_16217,bulge2
6FT6_7737,hairpin6
6ENU_7485,bulge2
6GWT_7650,bulge2
6OSK_8525,bulge2
7N31_3073,bulge3
6LQM_7925,bulge2
8FZJ_15746,bulge2
6HTQ_7856,bulge2
6Q98_9094,hairpin6
6O9K_1839,3x3
5WDT_7242,hairpin6
7M4X_10983,bulge2
8XU8_16434,bulge2
5X8P_9409,hairpin5
6O90_8522,hairpin6
6SNT_9326,hairpin6
5MDY_6588,hairpin6
8URI_15461,bulge2
5WF0_9329,hairpin5
7PAN_2891,2x2
8UIZ_4094,3x3
6ZOK_2452,2x2
6ZU1_10422,bulge2
9HC4_17129,bulge2
6I7O_8175,hairpin6
7MSC_11608,bulge2
6OLE_8663,hairpin6
8VR4_4341,2x2
5IT9_15224,bulge1
8K0R_15302,bulge2
7NHK_11123,bulge2
6FT6_7512,bulge2
6QT0_9139,hairpin6
7UPH_3133,2x2
5WFK_7036,bulge2
8VKI_16790,bulge2
8YOP_358,bulge5
6HMA_10488,hairpin5
5WE6_9325,hairpin5
6SV4_9388,hairpin6
8UQL_3903,bulge3
5WF0_2171,bulge3
3J8G_1539,hairpin6
6ICZ_10564,hairpin5
7PIS_12156,bulge2
3J79_2956,bulge1
6QYZ_11799,hairpin5
5JB3_19867,hairpin4
6C4H_7345,bulge2
7ABZ_10496,bulge2
6OM0_8710,hairpin6
8G5Z_13444,bulge2
7CPV_11569,bulge2
6GQB_7871,hairpin6
7JT3_10830,bulge2
6PCQ_11588,hairpin5
6QT0_11765,hairpin5
6Q97_9086,hairpin6
6ERI_9968,hairpin5
5ZEB_2165,hairpin3
5UYN_7115,hairpin6
9FQ0_15575,bulge2
8RWG_16704,bulge2
5JU8_6062,bulge2
6Q95_2631,bulge3
5IMQ_19293,hairpin4
8G6W_13483,bulge2
6DZI_9884,hairpin5
6XGF_9936,bulge2
5KPS_6369,hairpin6
8EVR_3525,2x2
5ANC_4926,hairpin7
6O7K_8190,bulge2
6RI5_2652,hairpin3
9GUX_3826,3x3
5JTE_15661,bulge1
8Y38_15800,bulge2
5ANC_4924,hairpin7
8FKX_13727,bulge2
4V76_3782,bulge2
9NL5_4203,bulge3
8P16_15321,bulge2
5WE6_9324,hairpin5
7JSW_10775,bulge2
6TNU_9196,bulge2
6W6P_9482,bulge2
6O8X_1984,2x2
7SSN_3060,2x2
3J7O_2984,bulge1
5H1S_5726,bulge2
3JAH_1618,hairpin6
5IT7_19381,hairpin4
9GHH_4468,2x2
6YSU_10153,bulge2
8XSX_15620,bulge2
9H3U_16604,bulge2
8S1U_15516,bulge2
